Title,Description,Director,Publication_Year,Runtime,Genre
Munna Bhai M.B.B.S.,A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,2003,156 min,"Comedy, Drama, Musical"
Salinui chueok,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,2003,131 min,"Crime, Drama, Mystery"
Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Farhan Akhtar,2001,183 min,"Comedy, Drama, Romance"
Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,2003,111 min,"Action, Crime, Drama"
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton,2003,100 min,"Animation, Adventure, Comedy"
Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,2002,141 min,"Biography, Crime, Drama"
Amores perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,2000,154 min,"Drama, Thriller"
"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",Pete Docter,2001,92 min,"Animation, Adventure, Comedy"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,Hideaki Anno,1997,87 min,"Animation, Action, Drama"
Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,2001,224 min,"Adventure, Drama, Musical"
The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,M. Night Shyamalan,1999,107 min,"Drama, Mystery, Thriller"
La leggenda del pianista sull'oceano,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Giuseppe Tornatore,1998,169 min,"Drama, Music, Romance"
The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,Peter Weir,1998,103 min,"Comedy, Drama"
"Crna macka, beli macor",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Emir Kusturica,1998,127 min,"Comedy, Crime, Romance"
The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen,1998,117 min,"Comedy, Crime, Sport"
Fa yeung nin wah,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong,2000,98 min,"Drama, Romance"
Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle,1996,93 min,Drama
Fargo,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen,1996,98 min,"Crime, Drama, Thriller"
Underground,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",Emir Kusturica,1995,170 min,"Comedy, Drama, War"
La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,1995,98 min,"Crime, Drama"
Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Aditya Chopra,1995,189 min,"Drama, Romance"
Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,1995,101 min,"Drama, Romance"
Trois couleurs: Rouge,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,1994,99 min,"Drama, Mystery, Romance"
Chung Hing sam lam,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",Kar-Wai Wong,1994,102 min,"Comedy, Crime, Drama"
Jurassic Park,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,1993,127 min,"Action, Adventure, Sci-Fi"
In the Name of the Father,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,1993,133 min,"Biography, Crime, Drama"
Ba wang bie ji,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,Kaige Chen,1993,171 min,"Drama, Music, Romance"
Dà hóng denglong gaogao guà,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",Yimou Zhang,1991,125 min,"Drama, History, Romance"
Dead Poets Society,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Peter Weir,1989,128 min,"Comedy, Drama"
Stand by Me,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Rob Reiner,1986,89 min,"Adventure, Drama"
Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,1986,120 min,"Drama, War"
"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,1984,145 min,Drama
Kaze no tani no Naushika,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki,1984,117 min,"Animation, Adventure, Fantasy"
The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,1982,109 min,"Horror, Mystery, Sci-Fi"
Pink Floyd: The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,Alan Parker,1982,95 min,"Drama, Fantasy, Music"
Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",Werner Herzog,1982,158 min,"Adventure, Drama"
Fanny och Alexander,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Ingmar Bergman,1982,188 min,Drama
Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Ridley Scott,1982,117 min,"Action, Sci-Fi, Thriller"
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,1980,124 min,"Biography, Drama"
Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Terry Jones,1979,94 min,Comedy
The Deer Hunter,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Michael Cimino,1978,183 min,"Drama, War"
Rocky,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,1976,120 min,"Drama, Sport"
Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Sidney Lumet,1976,121 min,Drama
Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,1975,185 min,"Adventure, Drama, History"
Zerkalo,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Andrei Tarkovsky,1975,107 min,"Biography, Drama"
Chinatown,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,1974,130 min,"Drama, Mystery, Thriller"
Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Peter Bogdanovich,1973,102 min,"Comedy, Crime, Drama"
Viskningar och rop,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Ingmar Bergman,1972,91 min,Drama
Solaris,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Andrei Tarkovsky,1972,167 min,"Drama, Mystery, Sci-Fi"
Le samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Jean-Pierre Melville,1967,105 min,"Crime, Drama, Mystery"
Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,1967,127 min,"Crime, Drama"
Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,1966,85 min,"Drama, Thriller"
Andrei Rublev,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Andrei Tarkovsky,1966,205 min,"Biography, Drama, History"
La battaglia di Algeri,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,1966,121 min,"Drama, War"
El ángel exterminador,The guests at an upper-class dinner party find themselves unable to leave.,Luis Buñuel,1962,95 min,"Drama, Fantasy"
What Ever Happened to Baby Jane?,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Robert Aldrich,1962,134 min,"Drama, Horror, Thriller"
Sanjuro,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",Akira Kurosawa,1962,96 min,"Action, Comedy, Crime"
The Man Who Shot Liberty Valance,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,John Ford,1962,123 min,"Drama, Western"
Ivanovo detstvo,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",Andrei Tarkovsky,1962,95 min,"Drama, War"
Jungfrukällan,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Ingmar Bergman,1960,89 min,Drama
Inherit the Wind,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",Stanley Kramer,1960,128 min,"Biography, Drama, History"
Les quatre cents coups,"A young boy, left without attention, delves into a life of petty crime.",François Truffaut,1959,99 min,"Crime, Drama"
Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",William Wyler,1959,212 min,"Adventure, Drama, History"
Kakushi-toride no san-akunin,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Akira Kurosawa,1958,139 min,"Adventure, Drama"
Le notti di Cabiria,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Federico Fellini,1957,110 min,Drama
Kumonosu-jô,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Akira Kurosawa,1957,110 min,"Drama, History"
The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",David Lean,1957,161 min,"Adventure, Drama, War"
On the Waterfront,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Elia Kazan,1954,108 min,"Crime, Drama, Thriller"
Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,1953,131 min,"Adventure, Drama, Thriller"
Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Billy Wilder,1951,111 min,"Drama, Film-Noir"
White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Raoul Walsh,1949,114 min,"Action, Crime, Drama"
The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,1949,104 min,"Film-Noir, Mystery, Thriller"
The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,Michael Powell,1948,135 min,"Drama, Music, Romance"
The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch,1940,99 min,"Comedy, Drama, Romance"
Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,1940,130 min,"Drama, Mystery, Romance"
Mr. Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Frank Capra,1939,129 min,"Comedy, Drama"
Gone with the Wind,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Victor Fleming,1939,238 min,"Drama, History, Romance"
La Grande Illusion,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Jean Renoir,1937,113 min,"Drama, War"
It Happened One Night,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Frank Capra,1934,105 min,"Comedy, Romance"
La passion de Jeanne d'Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,1928,110 min,"Biography, Drama, History"
The Circus,The Tramp finds work and the girl of his dreams at a circus.,Charles Chaplin,1928,72 min,"Comedy, Romance"
Sunrise: A Song of Two Humans,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,F.W. Murnau,1927,94 min,"Drama, Romance"
The General,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Clyde Bruckman,1926,67 min,"Action, Adventure, Comedy"
Das Cabinet des Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Robert Wiene,1920,76 min,"Fantasy, Horror, Mystery"
Badhaai ho,A man is embarrassed when he finds out his mother is pregnant.,Amit Ravindernath Sharma,2018,124 min,"Comedy, Drama"
Togo,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",Ericson Core,2019,113 min,"Adventure, Biography, Drama"
Airlift,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Raja Menon,2016,130 min,"Drama, History"
Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Kabir Khan,2015,163 min,"Action, Adventure, Comedy"
Baby,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Neeraj Pandey,2015,159 min,"Action, Crime, Thriller"
La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Damien Chazelle,2016,128 min,"Comedy, Drama, Music"
Lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,2016,118 min,"Biography, Drama"
The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Ridley Scott,2015,144 min,"Adventure, Drama, Sci-Fi"
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Byron Howard,2016,108 min,"Animation, Adventure, Comedy"
Bãhubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",S.S. Rajamouli,2015,159 min,"Action, Drama"
Kaguyahime no monogatari,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Isao Takahata,2013,137 min,"Animation, Adventure, Drama"
Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Stephen Chbosky,2017,113 min,"Drama, Family"
Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.,Zoya Akhtar,2019,154 min,"Drama, Music, Romance"
Special Chabbis,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Neeraj Pandey,2013,144 min,"Crime, Drama, Thriller"
Short Term 12,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Destin Daniel Cretton,2013,96 min,Drama
Serbuan maut 2: Berandal,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans,2014,150 min,"Action, Crime, Thriller"
The Imitation Game,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",Morten Tyldum,2014,114 min,"Biography, Drama, Thriller"
Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,2014,121 min,"Action, Adventure, Comedy"
Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,2017,164 min,"Action, Drama, Mystery"
Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,2013,126 min,"Drama, Romance, Sci-Fi"
Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer,2018,134 min,"Biography, Drama, Music"
The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu,2015,156 min,"Action, Adventure, Drama"
The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,Stephen Chbosky,2012,103 min,"Drama, Romance"
Tropa de Elite 2: O Inimigo Agora é Outro,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",José Padilha,2010,115 min,"Action, Crime, Drama"
The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Tom Hooper,2010,118 min,"Biography, Drama, History"
The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,2011,146 min,Drama
Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,2016,108 min,"Action, Adventure, Comedy"
Darbareye Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Asghar Farhadi,2009,119 min,"Drama, Mystery"
Dev.D,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Anurag Kashyap,2009,144 min,"Drama, Romance"
Yip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",Wilson Yip,2008,106 min,"Action, Biography, Drama"
My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,2010,165 min,Drama
Nefes: Vatan Sagolsun,Story of 40-man Turkish task force who must defend a relay station.,Levent Semerci,2009,128 min,"Action, Drama, Thriller"
Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Danny Boyle,2008,120 min,"Drama, Romance"
Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Darren Aronofsky,2010,108 min,"Drama, Thriller"
Tropa de Elite,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",José Padilha,2007,115 min,"Action, Crime, Drama"
The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,2012,143 min,"Action, Adventure, Sci-Fi"
Persepolis,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Vincent Paronnaud,2007,96 min,"Animation, Biography, Drama"
Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Jean-Marc Vallée,2013,117 min,"Biography, Drama"
The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Gabriele Muccino,2006,117 min,"Biography, Drama"
Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Edward Zwick,2006,143 min,"Adventure, Drama, Thriller"
The Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass,2007,115 min,"Action, Mystery, Thriller"
Bin-jip,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,Ki-duk Kim,2004,88 min,"Crime, Drama, Romance"
Sin City,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",Frank Miller,2005,124 min,"Crime, Thriller"
Le scaphandre et le papillon,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,Julian Schnabel,2007,112 min,"Biography, Drama"
G.O.R.A.,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,Ömer Faruk Sorak,2004,127 min,"Adventure, Comedy, Sci-Fi"
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,Brad Bird,2007,111 min,"Animation, Adventure, Comedy"
Casino Royale,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Martin Campbell,2006,144 min,"Action, Adventure, Thriller"
Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino,2004,137 min,"Action, Crime, Thriller"
Vozvrashchenie,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Andrey Zvyagintsev,2003,110 min,Drama
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,Ki-duk Kim,2003,103 min,"Drama, Romance"
Mar adentro,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",Alejandro Amenábar,2014,126 min,"Biography, Drama"
Cinderella Man,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",Ron Howard,2005,144 min,"Biography, Drama, History"
Kal Ho Naa Ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Nikkhil Advani,2003,186 min,"Comedy, Drama, Musical"
Mou gaan dou,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Andrew Lau,2002,101 min,"Action, Crime, Drama"
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,2003,143 min,"Action, Adventure, Fantasy"
Big Fish,A frustrated son tries to determine the fact from fiction in his dying father's life.,Tim Burton,2003,125 min,"Adventure, Drama, Fantasy"
The Incredibles,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Brad Bird,2004,115 min,"Animation, Action, Adventure"
Yeopgijeogin geunyeo,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Jae-young Kwak,2001,137 min,"Comedy, Drama, Romance"
Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Lars von Trier,2003,178 min,"Crime, Drama"
Vizontele,Lives of residents in a small Anatolian village change when television is introduced to them,Yilmaz Erdogan,2001,110 min,"Comedy, Drama"
Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly,2001,113 min,"Drama, Mystery, Sci-Fi"
Magnolia,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Paul Thomas Anderson,1999,188 min,Drama
Dancer in the Dark,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Lars von Trier,2000,140 min,"Crime, Drama, Musical"
The Straight Story,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,David Lynch,1999,112 min,"Biography, Drama"
Pâfekuto burû,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Satoshi Kon,1997,81 min,"Animation, Crime, Mystery"
Festen,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Thomas Vinterberg,1998,105 min,Drama
Central do Brasil,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",Walter Salles,1998,110 min,Drama
The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,1999,86 min,"Animation, Action, Adventure"
Knockin' on Heaven's Door,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Thomas Jahn,1997,87 min,"Action, Crime, Comedy"
Sling Blade,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Billy Bob Thornton,1996,135 min,Drama
Secrets & Lies,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Mike Leigh,1996,136 min,"Comedy, Drama"
Twelve Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,1995,129 min,"Mystery, Sci-Fi, Thriller"
Kôkaku Kidôtai,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,Mamoru Oshii,1995,83 min,"Animation, Action, Crime"
The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,1993,76 min,"Animation, Family, Fantasy"
Groundhog Day,A weatherman finds himself inexplicably living the same day over and over again.,Harold Ramis,1993,101 min,"Comedy, Fantasy, Romance"
Bound by Honor,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",Taylor Hackford,1993,180 min,"Crime, Drama"
Scent of a Woman,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Martin Brest,1992,156 min,Drama
Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Ron Clements,1992,90 min,"Animation, Adventure, Comedy"
JFK,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Oliver Stone,1991,189 min,"Drama, History, Thriller"
