Title,Description,Director,Publication_Year,Runtime,Genre
The Purple Rose of Cairo,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",Woody Allen,1985,82 min,"Comedy, Fantasy, Romance"
After Hours,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,Martin Scorsese,1985,97 min,"Comedy, Crime, Drama"
Zelig,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",Woody Allen,1983,79 min,Comedy
The Verdict,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,Sidney Lumet,1982,129 min,Drama
Star Trek II: The Wrath of Khan,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",Nicholas Meyer,1982,113 min,"Action, Adventure, Sci-Fi"
First Blood,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,Ted Kotcheff,1982,93 min,"Action, Adventure"
Ordinary People,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",Robert Redford,1980,124 min,Drama
Airplane!,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,Jim Abrahams,1980,88 min,Comedy
Rupan sansei: Kariosutoro no shiro,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.",Hayao Miyazaki,1979,100 min,"Animation, Adventure, Family"
Halloween,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",John Carpenter,1978,91 min,"Horror, Thriller"
Le locataire,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,Roman Polanski,1976,126 min,"Drama, Thriller"
Love and Death,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",Woody Allen,1975,85 min,"Comedy, War"
The Taking of Pelham One Two Three,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?",Joseph Sargent,1974,104 min,"Action, Crime, Thriller"
Blazing Saddles,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",Mel Brooks,1974,93 min,"Comedy, Western"
Serpico,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,Sidney Lumet,1973,130 min,"Biography, Crime, Drama"
Enter the Dragon,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Robert Clouse,1973,102 min,"Action, Crime, Drama"
Deliverance,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",John Boorman,1972,109 min,"Adventure, Drama, Thriller"
The French Connection,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,William Friedkin,1971,104 min,"Action, Crime, Drama"
Dirty Harry,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",Don Siegel,1971,102 min,"Action, Crime, Thriller"
Where Eagles Dare,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",Brian G. Hutton,1968,158 min,"Action, Adventure, War"
The Odd Couple,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",Gene Saks,1968,105 min,Comedy
The Dirty Dozen,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",Robert Aldrich,1967,150 min,"Action, Adventure, War"
Belle de jour,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Luis Buñuel,1967,100 min,"Drama, Romance"
A Man for All Seasons,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Fred Zinnemann,1966,120 min,"Biography, Drama, History"
Repulsion,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,Roman Polanski,1965,105 min,"Drama, Horror, Thriller"
Zulu,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Cy Endfield,1964,138 min,"Drama, History, War"
